observation_date,PAYEMS
1985-01-01,96372
1985-02-01,96503
1985-03-01,96842
1985-04-01,97038
1985-05-01,97312
1985-06-01,97459
1985-07-01,97648
1985-08-01,97840
1985-09-01,98045
1985-10-01,98233
1985-11-01,98443
1985-12-01,98609
1986-01-01,98732
1986-02-01,98847
1986-03-01,98934
1986-04-01,99121
1986-05-01,99248
1986-06-01,99155
1986-07-01,99473
1986-08-01,99588
1986-09-01,99934
1986-10-01,100121
1986-11-01,100308
1986-12-01,100509
1987-01-01,100678
1987-02-01,100919
1987-03-01,101164
1987-04-01,101499
1987-05-01,101728
1987-06-01,101900
1987-07-01,102247
1987-08-01,102420
1987-09-01,102647
1987-10-01,103138
1987-11-01,103372
1987-12-01,103661
1988-01-01,103753
1988-02-01,104214
1988-03-01,104489
1988-04-01,104732
1988-05-01,104962
1988-06-01,105326
1988-07-01,105550
1988-08-01,105674
1988-09-01,106013
1988-10-01,106276
1988-11-01,106617
1988-12-01,106898
1989-01-01,107161
1989-02-01,107427
1989-03-01,107621
1989-04-01,107791
1989-05-01,107913
1989-06-01,108027
1989-07-01,108069
1989-08-01,108120
1989-09-01,108369
1989-10-01,108476
1989-11-01,108752
1989-12-01,108836
1990-01-01,109196
1990-02-01,109436
1990-03-01,109640
1990-04-01,109674
1990-05-01,109828
1990-06-01,109850
1990-07-01,109815
1990-08-01,109606
1990-09-01,109523
1990-10-01,109377
1990-11-01,109222
1990-12-01,109168
1991-01-01,109058
1991-02-01,108735
1991-03-01,108568
1991-04-01,108350
1991-05-01,108253
1991-06-01,108330
1991-07-01,108290
1991-08-01,108299
1991-09-01,108335
1991-10-01,108361
1991-11-01,108300
1991-12-01,108330
1992-01-01,108365
1992-02-01,108313
1992-03-01,108367
1992-04-01,108517
1992-05-01,108647
1992-06-01,108707
1992-07-01,108792
1992-08-01,108916
1992-09-01,108952
1992-10-01,109138
1992-11-01,109283
1992-12-01,109502
1993-01-01,109790
1993-02-01,110048
1993-03-01,110004
1993-04-01,110300
1993-05-01,110571
1993-06-01,110742
1993-07-01,111054
1993-08-01,111200
1993-09-01,111449
1993-10-01,111734
1993-11-01,111988
1993-12-01,112324
1994-01-01,112601
1994-02-01,112782
1994-03-01,113245
1994-04-01,113589
1994-05-01,113922
1994-06-01,114239
1994-07-01,114608
1994-08-01,114903
1994-09-01,115247
1994-10-01,115457
1994-11-01,115868
1994-12-01,116173
1995-01-01,116505
1995-02-01,116694
1995-03-01,116908
1995-04-01,117065
1995-05-01,117047
1995-06-01,117291
1995-07-01,117382
1995-08-01,117646
1995-09-01,117873
1995-10-01,118026
1995-11-01,118165
1995-12-01,118325
1996-01-01,118317
1996-02-01,118737
1996-03-01,118992
1996-04-01,119158
1996-05-01,119496
1996-06-01,119770
1996-07-01,120019
1996-08-01,120198
1996-09-01,120400
1996-10-01,120665
1996-11-01,120947
1996-12-01,121143
1997-01-01,121357
1997-02-01,121674
1997-03-01,121991
1997-04-01,122288
1997-05-01,122560
1997-06-01,122816
1997-07-01,123114
1997-08-01,123086
1997-09-01,123575
1997-10-01,123924
1997-11-01,124226
1997-12-01,124549
1998-01-01,124806
1998-02-01,125017
1998-03-01,125165
1998-04-01,125446
1998-05-01,125846
1998-06-01,126076
1998-07-01,126211
1998-08-01,126546
1998-09-01,126744
1998-10-01,126948
1998-11-01,127223
1998-12-01,127595
1999-01-01,127699
1999-02-01,128118
1999-03-01,128234
1999-04-01,128596
1999-05-01,128813
1999-06-01,129084
1999-07-01,129421
1999-08-01,129572
1999-09-01,129772
1999-10-01,130178
1999-11-01,130467
1999-12-01,130783
2000-01-01,131011
2000-02-01,131121
2000-03-01,131604
2000-04-01,131883
2000-05-01,132105
2000-06-01,132062
2000-07-01,132228
2000-08-01,132234
2000-09-01,132338
2000-10-01,132352
2000-11-01,132556
2000-12-01,132716
2001-01-01,132703
2001-02-01,132788
2001-03-01,132751
2001-04-01,132457
2001-05-01,132409
2001-06-01,132299
2001-07-01,132171
2001-08-01,132021
2001-09-01,131763
2001-10-01,131452
2001-11-01,131144
2001-12-01,130983
2002-01-01,130859
2002-02-01,130736
2002-03-01,130722
2002-04-01,130615
2002-05-01,130632
2002-06-01,130673
2002-07-01,130583
2002-08-01,130582
2002-09-01,130503
2002-10-01,130617
2002-11-01,130616
2002-12-01,130465
2003-01-01,130573
2003-02-01,130441
2003-03-01,130235
2003-04-01,130172
2003-05-01,130196
2003-06-01,130185
2003-07-01,130184
2003-08-01,130153
2003-09-01,130253
2003-10-01,130440
2003-11-01,130481
2003-12-01,130589
2004-01-01,130756
2004-02-01,130820
2004-03-01,131139
2004-04-01,131412
2004-05-01,131697
2004-06-01,131794
2004-07-01,131853
2004-08-01,131940
2004-09-01,132091
2004-10-01,132431
2004-11-01,132504
2004-12-01,132629
2005-01-01,132781
2005-02-01,133033
2005-03-01,133152
2005-04-01,133519
2005-05-01,133689
2005-06-01,133947
2005-07-01,134300
2005-08-01,134503
2005-09-01,134554
2005-10-01,134643
2005-11-01,134999
2005-12-01,135158
2006-01-01,135426
2006-02-01,135731
2006-03-01,136036
2006-04-01,136208
2006-05-01,136249
2006-06-01,136335
2006-07-01,136529
2006-08-01,136693
2006-09-01,136829
2006-10-01,136846
2006-11-01,137061
2006-12-01,137249
2007-01-01,137472
2007-02-01,137558
2007-03-01,137782
2007-04-01,137845
2007-05-01,137993
2007-06-01,138069
2007-07-01,138044
2007-08-01,138013
